Discordant_nerve_Is RNA present in nerve?,Discordant_nerve_Is protein present in glia?,Discordant_nerve_Is protein present in nerve?,Discordant_nerve_Is RNA present in glia?,Discordant_VNC_Is protein present in neuropil?,Discordant_VNC_Is RNA present in midline glia?,Discordant_VNC_Is RNA present in neuropil?,Discordant_VNC_Is protein present in soma?,Discordant_VNC_Is RNA present in soma?,Discordant_VNC_Is protein present in midline glia?,Discordant_CB_Is protein present in NBs?,Discordant_CB_Is RNA present in anlagen?,Discordant_CB_Is RNA present in other cells?,Discordant_CB_Is protein present in other cells?,Discordant_CB_Is RNA present in NBs?,Discordant_CB_Is protein present in anlagen?,Discordant_MB_Is protein present in MB calyx?,Discordant_MB_Is protein present in Kenyon cell somata?,Discordant_MB_Is RNA present in MB calyx?,Discordant_MB_Is protein present in MB lobes?,Discordant_MB_Is RNA present in Kenyon cell somata?,Discordant_MB_Is RNA present in MB lobes?,Discordant_NMJ_Is RNA present in neuron?,Discordant_NMJ_Is RNA present in post synaptic density?,Discordant_NMJ_Is protein present in neuron?,Discordant_NMJ_Is protein present in muscle?,Discordant_NMJ_Is RNA present in axon terminal?,Discordant_NMJ_Is protein present in post synaptic density?,Discordant_NMJ_Is RNA present in muscle?,Discordant_NMJ_Is protein present in axon terminal?,Discordant_OL_Is RNA present in neuropil?,Discordant_OL_Is protein present in soma?,Discordant_OL_Is protein present in neuropil?,Discordant_OL_Is RNA present in soma?,FBgn_ID,CPTI,gene_name
3,3,3,2,3,2,2,3,3,2,3,3,2,2,2,2,3,3,2,2,3,2,2,2,3,2,3,3,2,3,2,3,3,3,FBgn0003041,CPTI000850,pbl
3,2,3,3,3,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,2,3,3,2,2,3,3,2,3,2,FBgn0266579,CPTI000194,tau
3,2,2,3,2,0,2,2,3,0,3,2,2,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,2,2,3,2,3,FBgn0262559,CPTI002315,mdh2
3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,3,3,3,2,3,3,2,2,3,3,3,FBgn0004227,CPTI003091,nonA
3,2,2,3,2,2,2,3,3,0,3,3,2,2,3,2,2,2,3,2,2,2,3,2,3,2,3,3,2,3,2,2,2,3,FBgn0031294,CPTI100013,ia2
3,2,3,3,2,2,2,3,3,2,2,3,2,2,3,2,2,2,3,2,2,3,3,3,3,3,3,3,2,2,2,3,3,3,FBgn0013997,CPTI001977,Nrx-IV
2,3,2,3,3,2,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,3,2,3,2,3,3,3,3,2,3,FBgn0003716,CPTI002487,tkv
3,2,3,3,3,2,3,3,3,0,2,3,2,2,3,2,3,2,3,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,FBgn0264975,CPTI001714,Nrg
2,2,2,3,2,2,2,3,3,2,2,3,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,3,3,2,3,3,3,FBgn0266521,CPTI001234,stai
3,2,3,3,2,2,2,2,3,2,2,3,2,2,3,2,3,2,3,3,2,2,2,3,2,3,2,3,3,2,3,2,2,3,FBgn0003721,CPTI000760,Tm1
2,3,3,0,3,3,2,2,3,2,3,3,2,2,3,3,3,3,3,3,2,3,0,2,2,2,2,2,2,2,3,3,3,3,FBgn0013733,CPTI001962,shot
3,3,3,3,3,2,3,3,2,0,3,3,2,2,3,2,2,2,2,3,2,2,3,3,2,3,3,3,3,2,3,2,2,2,FBgn0015776,CPTI000925,nrv1
3,3,2,3,2,0,3,2,2,2,2,2,2,3,3,2,3,3,3,2,3,3,0,3,3,2,3,3,3,3,2,3,3,2,FBgn0267376,CPTI001015,SelR
3,3,3,2,3,2,3,3,3,2,2,3,2,2,2,3,3,2,2,3,3,2,2,3,3,3,2,3,3,2,2,2,2,3,FBgn0014007,CPTI001880,Ptp69D
2,3,3,2,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,2,3,2,2,0,3,2,3,3,3,3,2,3,3,3,FBgn0263391,CPTI001589,hts
2,3,3,3,2,0,2,2,2,0,2,2,2,2,2,2,2,2,3,3,3,3,0,3,3,2,3,2,3,2,0,2,2,0,FBgn0037110,CPTI002636,ORMDL
3,3,2,3,3,0,2,3,2,2,2,2,2,2,3,2,3,2,3,3,3,3,3,2,3,2,2,3,3,3,2,3,3,3,FBgn0037073,CPTI000765,tsr1
